question_id,question,option1,option2,option3,option4,correct_answer
43,What is the main disadvantage of using a probabilistic model in information retrieval?,It does not support relevance ranking, It requires extensive preprocessing of documents, It cannot handle large document collections, It assumes independence between terms,It assumes independence between terms
44,Which of the following is not a term weighting scheme used in the vector space model?,TF-IDF, BM25, Okapi BM25, Jaccard coefficient,Jaccard coefficient
45,What is the purpose of a query processor in information retrieval?,To retrieve documents from a collection, To preprocess queries before retrieval, To store documents in a database, To rank documents based on relevance,To preprocess queries before retrieval
46,Which of the following is not a step in the document retrieval process?,Indexing, Query processing, Ranking, Preprocessing,Preprocessing
47,What is the main purpose of query expansion in information retrieval?,To retrieve documents from a collection, To improve the accuracy of retrieval results, To preprocess queries before retrieval, To rank documents based on relevance,To improve the accuracy of retrieval results
48,Which of the following is not a limitation of the Boolean model?,It does not support relevance ranking, It requires extensive preprocessing of documents, It cannot handle large document collections, It is computationally expensive,It is computationally expensive
49,What is the main disadvantage of using stemming in text processing?,It reduces the recall of the retrieval system, It introduces noise into the document collection, It increases the complexity of the retrieval process, It may produce incorrect word stems,It may produce incorrect word stems
50,Which of the following is not a method for improving retrieval performance?,Query expansion, Relevance feedback, Stemming, Document summarization,Document summarization
51,What is the main advantage of using an inverted index for document retrieval?,It requires less memory, It allows for efficient query processing, It supports complex queries, All of the above,All of the above
52,Which of the following is not a component of an information retrieval system?,Query processor, Indexer, Document collection, Classifier,Classifier
53,What does the term 'tokenization' refer to in text processing?,Breaking text into words or phrases, Removing punctuation from text, Removing stop words from text, Converting text to lowercase,Breaking text into words or phrases
54,Which of the following is not a similarity measure used in information retrieval?,Cosine similarity, Euclidean distance, Manhattan distance, Conditional probability,Conditional probability
55,What is the main disadvantage of using a probabilistic model in information retrieval?,It does not support relevance ranking, It requires extensive preprocessing of documents, It cannot handle large document collections, It assumes independence between terms,It assumes independence between terms
56,Which of the following is not a term weighting scheme used in the vector space model?,TF-IDF, BM25, Okapi BM25, Jaccard coefficient,Jaccard coefficient
57,What is the purpose of a query processor in information retrieval?,To retrieve documents from a collection, To preprocess queries before retrieval, To store documents in a database, To rank documents based on relevance,To preprocess queries before retrieval
58,Which of the following is not a step in the document retrieval process?,Indexing, Query processing, Ranking, Preprocessing,Preprocessing
59,What is the main purpose of query expansion in information retrieval?,To retrieve documents from a collection, To improve the accuracy of retrieval results, To preprocess queries before retrieval, To rank documents based on relevance,To improve the accuracy of retrieval results
60,Which of the following is not a limitation of the Boolean model?,It does not support relevance ranking, It requires extensive preprocessing of documents, It cannot handle large document collections, It is computationally expensive,It is computationally expensive
61,What is the main disadvantage of using stemming in text processing?,It reduces the recall of the retrieval system, It introduces noise into the document collection, It increases the complexity of the retrieval process, It may produce incorrect word stems,It may produce incorrect word stems
62,Which of the following is not a method for improving retrieval performance?,Query expansion, Relevance feedback, Stemming, Document summarization,Document summarization
63,What is the main advantage of using an inverted index for document retrieval?,It requires less memory, It allows for efficient query processing, It supports complex queries, All of the above,All of the above
64,Which of the following is not a component of an information retrieval system?,Query processor, Indexer, Document collection, Classifier,Classifier
65,What does the term 'tokenization' refer to in text processing?,Breaking text into words or phrases, Removing punctuation from text, Removing stop words from text, Converting text to lowercase,Breaking text into words or phrases
66,Which of the following is not a similarity measure used in information retrieval?,Cosine similarity, Euclidean distance, Manhattan distance, Conditional probability,Conditional probability
67,What is the main disadvantage of using a probabilistic model in information retrieval?,It does not support relevance ranking, It requires extensive preprocessing of documents, It cannot handle large document collections, It assumes independence between terms,It assumes independence between terms
68,Which of the following is not a term weighting scheme used in the vector space model?,TF-IDF, BM25, Okapi BM25, Jaccard coefficient,Jaccard coefficient
69,What is the purpose of a query processor in information retrieval?,To retrieve documents from a collection, To preprocess queries before retrieval, To store documents in a database, To rank documents based on relevance,To preprocess queries before retrieval
70,Which of the following is not a step in the document retrieval process?,Indexing, Query processing, Ranking, Preprocessing,Preprocessing
71,What is the main purpose of query expansion in information retrieval?,To retrieve documents from a collection, To improve the accuracy of retrieval results, To preprocess queries before retrieval, To rank documents based on relevance,To improve the accuracy of retrieval results
72,Which of the following is not a limitation of the Boolean model?,It does not support relevance ranking, It requires extensive preprocessing of documents, It cannot handle large document collections, It is computationally expensive,It is computationally expensive
73,What is the main disadvantage of using stemming in text processing?,It reduces the recall of the retrieval system, It introduces noise into the document collection, It increases the complexity of the retrieval process, It may produce incorrect word stems,It may produce incorrect word stems
74,Which of the following is not a method for improving retrieval performance?,Query expansion, Relevance feedback, Stemming, Document summarization,Document summarization
75,What is the main advantage of using an inverted index for document retrieval?,It requires less memory, It allows for efficient query processing, It supports complex queries, All of the above,All of the above
76,Which of the following is not a component of an information retrieval system?,Query processor, Indexer, Document collection, Classifier,Classifier
77,What does the term 'tokenization' refer to in text processing?,Breaking text into words or phrases, Removing punctuation from text, Removing stop words from text, Converting text to lowercase,Breaking text into words or phrases
78,Which of the following is not a similarity measure used in information retrieval?,Cosine similarity, Euclidean distance, Manhattan distance, Conditional probability,Conditional probability
79,What is the main disadvantage of using a probabilistic model in information retrieval?,It does not support relevance ranking, It requires extensive preprocessing of documents, It cannot handle large document collections, It assumes independence between terms,It assumes independence between terms
80,Which of the following is not a term weighting scheme used in the vector space model?,TF-IDF, BM25, Okapi BM25, Jaccard coefficient,Jaccard coefficient
81,What is the purpose of a query processor in information retrieval?,To retrieve documents from a collection, To preprocess queries before retrieval, To store documents in a database, To rank documents based on relevance,To preprocess queries before retrieval
82,Which of the following is not a step in the document retrieval process?,Indexing, Query processing, Ranking, Preprocessing,Preprocessing
83,What is the main purpose of query expansion in information retrieval?,To retrieve documents from a collection, To improve the accuracy of retrieval results, To preprocess queries before retrieval, To rank documents based on relevance,To improve the accuracy of retrieval results
84,Which of the following is not a limitation of the Boolean model?,It does not support relevance ranking, It requires extensive preprocessing of documents, It cannot handle large document collections, It is computationally expensive,It is computationally expensive
85,What is the main disadvantage of using stemming in text processing?,It reduces the recall of the retrieval system, It introduces noise into the document collection, It increases the complexity of the retrieval process, It may produce incorrect word stems,It may produce incorrect word stems
86,Which of the following is not a method for improving retrieval performance?,Query expansion, Relevance feedback, Stemming, Document summarization,Document summarization
87,What is the main advantage of using an inverted index for document retrieval?,It requires less memory, It allows for efficient query processing, It supports complex queries, All of the above,All of the above
88,Which of the following is not a component of an information retrieval system?,Query processor, Indexer, Document collection, Classifier,Classifier
89,What does the term 'tokenization' refer to in text processing?,Breaking text into words or phrases, Removing punctuation from text, Removing stop words from text, Converting text to lowercase,Breaking text into words or phrases
90,Which of the following is not a similarity measure used in information retrieval?,Cosine similarity, Euclidean distance, Manhattan distance, Conditional probability,Conditional probability
91,What is the main disadvantage of using a probabilistic model in information retrieval?,It does not support relevance ranking, It requires extensive preprocessing of documents, It cannot handle large document collections, It assumes independence between terms,It assumes independence between terms
92,Which of the following is not a term weighting scheme used in the vector space model?,TF-IDF, BM25, Okapi BM25, Jaccard coefficient,Jaccard coefficient
93,What is the purpose of a query processor in information retrieval?,To retrieve documents from a collection, To preprocess queries before retrieval, To store documents in a database, To rank documents based on relevance,To preprocess queries before retrieval
94,Which of the following is not a step in the document retrieval process?,Indexing, Query processing, Ranking, Preprocessing,Preprocessing
95,What is the main purpose of query expansion in information retrieval?,To retrieve documents from a collection, To improve the accuracy of retrieval results, To preprocess queries before retrieval, To rank documents based on relevance,To improve the accuracy of retrieval results
96,Which of the following is not a limitation of the Boolean model?,It does not support relevance ranking, It requires extensive preprocessing of documents, It cannot handle large document collections, It is computationally expensive,It is computationally expensive
97,What is the main disadvantage of using stemming in text processing?,It reduces the recall of the retrieval system, It introduces noise into the document collection, It increases the complexity of the retrieval process, It may produce incorrect word stems,It may produce incorrect word stems
98,Which of the following is not a method for improving retrieval performance?,Query expansion, Relevance feedback, Stemming, Document summarization,Document summarization
99,What is the main advantage of using an inverted index for document retrieval?,It requires less memory, It allows for efficient query processing, It supports complex queries, All of the above,All of the above
100,Which of the following is not a component of an information retrieval system?,Query processor, Indexer, Document collection, Classifier,Classifier
