question_id,question,options__001,options__002,options__003,options__004,correct_option
67,Which of the following is a disadvantage of the Boolean retrieval model in IR?,Difficulty in handling large-scale datasets,Difficulty in handling complex queries,Difficulty in handling word order,Difficulty in handling synonymy,1
68,What is the primary goal of clustering in IR?,To group similar documents together,To rank documents based on their relevance to the query,To remove noisy terms from the index,To generate summaries of retrieved documents,0
69,Which of the following is an example of a retrieval model based on language modeling?,Vector Space Model (VSM),Okapi BM25,Latent Semantic Analysis (LSA),Probabilistic Model,3
70,What is the primary goal of stopword removal in IR?,To remove irrelevant terms from the query,To assign weights to terms based on their frequency in a document,To calculate the cosine similarity between documents,To adjust the term frequency based on the length of the document,0
71,What is the purpose of stemming in information retrieval?,To remove stop words from the query,To reduce words to their base or root form,To adjust term frequency based on document length,To rank documents based on relevance,1
72,Which of the following is a similarity measure commonly used in IR?,Euclidean distance,Hamming distance,Cosine similarity,Jaccard similarity,2
73,What does the term 'recall' measure in information retrieval?,The proportion of relevant documents retrieved,The proportion of retrieved documents that are relevant,The proportion of relevant documents in the collection,The proportion of retrieved documents,0
74,Which of the following is a challenge in evaluating IR systems?,Subjectivity of relevance judgments,Limited availability of evaluation metrics,Homogeneity of test collections,Consistency of user queries,0
75,What is the primary objective of query expansion in IR?,To increase the length of the query,To reduce the number of irrelevant documents,To improve retrieval effectiveness,To enhance query processing speed,2
76,Which of the following factors influences the effectiveness of an IR system?,Size of the document collection,Average length of documents,Complexity of user queries,All of the above,3
77,What is the role of relevance feedback in IR?,To assign relevance scores to documents,To provide feedback on the performance of the system,To refine search results based on user feedback,To measure the relevance of query terms,2
78,Which of the following is an advantage of the vector space model in IR?,Ease of implementation,Efficient retrieval of exact matches,Handling of word order,Scalability to large datasets,0
79,What is the primary purpose of inverted index in IR?,To store document metadata,To facilitate efficient document retrieval,To rank documents based on relevance,To generate query suggestions,1
80,Which of the following is a limitation of the vector space model in IR?,Difficulty in handling synonymy,Inability to handle large-scale datasets,Lack of support for Boolean queries,Inefficiency in ranking documents,0
81,What is the term used to describe the process of evaluating an IR system's performance?,Indexing,Ranking,Evaluation,Normalization,2
82,Which evaluation metric penalizes the system for retrieving irrelevant documents?,Precision,Recall,F1-score,Mean Average Precision,0
83,Which of the following is an example of a relevance judgment in IR?,Document length,Term frequency,Document relevance,Query length,2
84,What is the term used to describe the process of removing common words from documents and queries?,Stemming,Tokenization,Stop-word removal,Query expansion,2
85,Which of the following factors affects the precision of an IR system?,Number of relevant documents retrieved,Number of irrelevant documents retrieved,Total number of documents in the collection,Average length of documents,0
86,What is the purpose of normalization in IR?,To convert terms to their base or root form,To assign relevance scores to documents,To adjust term frequency based on document length,To remove stop words from the query,2
87,Which of the following is a type of query expansion technique?,Stop-word removal,Synonym substitution,Stemming,Term weighting,1
88,What does the term 'TF-IDF' stand for in IR?,Term Frequency-Inverse Document Frequency,Text Feature-Indexed Document Format,Total Frequency-Inverse Document Frequency,Term Filter-Indexed Document Filter,0
89,Which of the following is a method for handling ambiguity in queries?,Query expansion,Stop-word removal,Stemming,Tokenization,0
90,What is the role of the 'vector' in the vector space model of IR?,It represents a term's importance in a document,It represents a document's relevance to a query,It represents a document's length,It represents a term's frequency in a document,3
91,Which of the following is a common method for document retrieval in IR?,Boolean retrieval,Semantic retrieval,Random retrieval,Sequential retrieval,0
92,What is the purpose of term weighting in IR?,To assign relevance scores to documents,To adjust term frequency based on document length,To rank documents based on relevance,To increase the length of the query,2
93,Which of the following is a challenge in IR systems with large-scale datasets?,Efficient indexing,Limited query complexity,Low recall,Homogeneous document collection,0
94,What does the term 'stem' refer to in stemming algorithms?,The base or root form of a word,A suffix added to a word,A synonym of a word,A stop word,0
95,Which of the following is a common technique for relevance feedback in IR?,ROC analysis,Precision-recall curve,Rocchio algorithm,Naive Bayes classifier,2
96,What is the primary goal of information retrieval?,To retrieve relevant information,To store large volumes of data,To classify documents,To compress data for storage,0
97,Which of the following factors influences the effectiveness of query expansion?,The size of the document collection,The relevance of expansion terms,The complexity of user queries,All of the above,3
98,What is the primary challenge of using stemming in IR?,Loss of word meaning,Increased query processing time,Difficulty in implementation,Inability to handle large datasets,0
99,Which of the following is a method for evaluating the performance of an IR system?,Precision,Recall,F1-score,All of the above,3
100,What is the primary benefit of using a relevance feedback mechanism in IR?,Improved ranking of documents,Faster retrieval of documents,Reduced query processing time,Increased storage efficiency,0
